Team 1,Team 2,Winner,Margin,Ground,Match Date,Format
United,Gladiators,Gladiators,8 wickets,Dubai (DSC),4-Feb-16,T20
Kings,Qalandars,Kings,7 wickets,Dubai (DSC),5-Feb-16,T20
Zalmi,United,Zalmi,24 runs,Dubai (DSC),5-Feb-16,T20
Gladiators,Kings,Gladiators,8 wickets,Dubai (DSC),6-Feb-16,T20
Qalandars,Zalmi,Zalmi,9 wickets,Dubai (DSC),6-Feb-16,T20
United,Kings,United,2 runs,Dubai (DSC),7-Feb-16,T20
Gladiators,Zalmi,Gladiators,3 wickets,Dubai (DSC),7-Feb-16,T20
Qalandars,Gladiators,Qalandars,63 runs,Dubai (DSC),8-Feb-16,T20
United,Qalandars,United,8 wickets,Sharjah,10-Feb-16,T20
Kings,Zalmi,Zalmi,3 runs,Sharjah,11-Feb-16,T20
United,Gladiators,Gladiators,7 wickets,Sharjah,11-Feb-16,T20
Kings,Qalandars,Kings,27 runs,Sharjah,12-Feb-16,T20
United,Zalmi,Zalmi,7 wickets,Sharjah,12-Feb-16,T20
Kings,Gladiators,Gladiators,5 wickets,Sharjah,13-Feb-16,T20
Qalandars,Zalmi,Qalandars,4 runs,Sharjah,13-Feb-16,T20
United,Kings,United,5 wickets,Sharjah,14-Feb-16,T20
Gladiators,Zalmi,Zalmi,8 wickets,Sharjah,14-Feb-16,T20
Qalandars,Gladiators,Gladiators,2 wickets,Dubai (DSC),16-Feb-16,T20
Kings,Zalmi,Zalmi,5 wickets,Dubai (DSC),17-Feb-16,T20
United,Qalandars,United,5 wickets,Dubai (DSC),17-Feb-16,T20
Zalmi,Gladiators,Gladiators,1 run,Dubai (DSC),19-Feb-16,T20
United,Kings,United,9 wickets,Dubai (DSC),20-Feb-16,T20
United,Zalmi,United,50 runs,Dubai (DSC),21-Feb-16,T20
United,Gladiators,United,6 wickets,Dubai (DSC),23-Feb-16,T20
Qalandars,Gladiators,Gladiators,8 runs,Dubai (DSC),10-Feb-17,T20
United,Qalandars,Qalandars,6 wickets,Dubai (DSC),11-Feb-17,T20
Qalandars,Zalmi,Zalmi,3 wickets,Dubai (DSC),12-Feb-17,T20
Kings,Qalandars,Qalandars,7 runs,Sharjah,16-Feb-17,T20
Qalandars,Gladiators,Gladiators,5 wickets,Sharjah,18-Feb-17,T20
United,Qalandars,Qalandars,1 wicket,Sharjah,20-Feb-17,T20
Qalandars,Zalmi,Zalmi,17 runs,Dubai (DSC),24-Feb-17,T20
Kings,Qalandars,Kings,5 wickets,Dubai (DSC),25-Feb-17,T20
Sultans,Qalandars,Sultans,43 runs,Dubai (DSC),23-Feb-18,T20
Gladiators,Qalandars,Gladiators,9 wickets,Dubai (DSC),24-Feb-18,T20
Kings,Qalandars,Kings,27 runs,Dubai (DSC),26-Feb-18,T20
Qalandars,United,tied,,Sharjah,2-Mar-18,T20
Zalmi,Qalandars,Zalmi,10 wickets,Sharjah,3-Mar-18,T20
United,Qalandars,United,6 wickets,Dubai (DSC),8-Mar-18,T20
Sultans,Qalandars,Qalandars,6 wickets,Dubai (DSC),9-Mar-18,T20
Kings,Qalandars,tied,,Dubai (DSC),11-Mar-18,T20
Gladiators,Qalandars,Qalandars,17 runs,Sharjah,14-Mar-18,T20
Zalmi,Qalandars,Zalmi,7 wickets,Sharjah,16-Mar-18,T20
United,Qalandars,United,5 wickets,Dubai (DSC),14-Feb-19,T20
Kings,Qalandars,Qalandars,22 runs,Dubai (DSC),16-Feb-19,T20
Qalandars,Zalmi,Zalmi,7 wickets,Dubai (DSC),17-Feb-19,T20
Qalandars,Sultans,Qalandars,6 wickets,Sharjah,22-Feb-19,T20
Qalandars,Gladiators,Gladiators,3 wickets,Sharjah,23-Feb-19,T20
Qalandars,Gladiators,Qalandars,8 wickets,Dubai (DSC),27-Feb-19,T20
Kings,Qalandars,Kings,5 wickets,Dubai (DSC),28-Feb-19,T20
Qalandars,Zalmi,Zalmi,4 wickets,Abu Dhabi,5-Mar-19,T20
Qalandars,United,United,49 runs,Karachi,9-Mar-19,T20
Qalandars,Sultans,Sultans,7 wickets,Karachi,11-Mar-19,T20
Qalandars,Sultans,Sultans,5 wickets,Lahore,21-Feb-20,T20
Qalandars,United,United,1 wicket,Lahore,23-Feb-20,T20
Qalandars,Zalmi,Zalmi,16 runs,Rawalpindi,28-Feb-20,T20
Qalandars,Gladiators,Qalandars,37 runs,Lahore,3-Mar-20,T20
Qalandars,United,United,71 runs,Lahore,4-Mar-20,T20
Qalandars,Gladiators,Qalandars,8 wickets,Lahore,7-Mar-20,T20
Qalandars,Kings,Qalandars,8 wickets,Lahore,8-Mar-20,T20
Qalandars,Zalmi,Qalandars,5 wickets,Lahore,10-Mar-20,T20
Kings,Qalandars,Kings,10 wickets,Karachi,12-Mar-20,T20
Qalandars,Sultans,Qalandars,9 wickets,Lahore,15-Mar-20,T20
