Team 1,Team 2,Winner,Margin,Ground
United,Gladiators,Gladiators,8 wickets,Dubai (DSC)
Kings,Qalandars,Kings,7 wickets,Dubai (DSC)
Zalmi,United,Zalmi,24 runs,Dubai (DSC)
Gladiators,Kings,Gladiators,8 wickets,Dubai (DSC)
Qalandars,Zalmi,Zalmi,9 wickets,Dubai (DSC)
United,Kings,United,2 runs,Dubai (DSC)
Gladiators,Zalmi,Gladiators,3 wickets,Dubai (DSC)
Qalandars,Gladiators,Qalandars,63 runs,Dubai (DSC)
United,Qalandars,United,8 wickets,Sharjah
Kings,Zalmi,Zalmi,3 runs,Sharjah
United,Gladiators,Gladiators,7 wickets,Sharjah
Kings,Qalandars,Kings,27 runs,Sharjah
United,Zalmi,Zalmi,7 wickets,Sharjah
Kings,Gladiators,Gladiators,5 wickets,Sharjah
Qalandars,Zalmi,Qalandars,4 runs,Sharjah
United,Kings,United,5 wickets,Sharjah
Gladiators,Zalmi,Zalmi,8 wickets,Sharjah
Qalandars,Gladiators,Gladiators,2 wickets,Dubai (DSC)
Kings,Zalmi,Zalmi,5 wickets,Dubai (DSC)
United,Qalandars,United,5 wickets,Dubai (DSC)
Zalmi,Gladiators,Gladiators,1 run,Dubai (DSC)
United,Kings,United,9 wickets,Dubai (DSC)
United,Zalmi,United,50 runs,Dubai (DSC)
United,Gladiators,United,6 wickets,Dubai (DSC)
Qalandars,Gladiators,Gladiators,8 runs,Dubai (DSC)
United,Qalandars,Qalandars,6 wickets,Dubai (DSC)
Qalandars,Zalmi,Zalmi,3 wickets,Dubai (DSC)
Kings,Qalandars,Qalandars,7 runs,Sharjah
Qalandars,Gladiators,Gladiators,5 wickets,Sharjah
United,Qalandars,Qalandars,1 wicket,Sharjah
Qalandars,Zalmi,Zalmi,17 runs,Dubai (DSC)
Kings,Qalandars,Kings,5 wickets,Dubai (DSC)
Sultans,Qalandars,Sultans,43 runs,Dubai (DSC)
Gladiators,Qalandars,Gladiators,9 wickets,Dubai (DSC)
Kings,Qalandars,Kings,27 runs,Dubai (DSC)
Qalandars,United,tied,,Sharjah
Zalmi,Qalandars,Zalmi,10 wickets,Sharjah
United,Qalandars,United,6 wickets,Dubai (DSC)
Sultans,Qalandars,Qalandars,6 wickets,Dubai (DSC)
Kings,Qalandars,tied,,Dubai (DSC)
Gladiators,Qalandars,Qalandars,17 runs,Sharjah
Zalmi,Qalandars,Zalmi,7 wickets,Sharjah
United,Qalandars,United,5 wickets,Dubai (DSC)
Kings,Qalandars,Qalandars,22 runs,Dubai (DSC)
Qalandars,Zalmi,Zalmi,7 wickets,Dubai (DSC)
Qalandars,Sultans,Qalandars,6 wickets,Sharjah
Qalandars,Gladiators,Gladiators,3 wickets,Sharjah
Qalandars,Gladiators,Qalandars,8 wickets,Dubai (DSC)
Kings,Qalandars,Kings,5 wickets,Dubai (DSC)
Qalandars,Zalmi,Zalmi,4 wickets,Abu Dhabi
Qalandars,United,United,49 runs,Karachi
Qalandars,Sultans,Sultans,7 wickets,Karachi
Qalandars,Sultans,Sultans,5 wickets,Lahore
Qalandars,United,United,1 wicket,Lahore
Qalandars,Zalmi,Zalmi,16 runs,Rawalpindi
Qalandars,Gladiators,Qalandars,37 runs,Lahore
Qalandars,United,United,71 runs,Lahore
Qalandars,Gladiators,Qalandars,8 wickets,Lahore
Qalandars,Kings,Qalandars,8 wickets,Lahore
Qalandars,Zalmi,Qalandars,5 wickets,Lahore
Kings,Qalandars,Kings,10 wickets,Karachi
Qalandars,Sultans,Qalandars,9 wickets,Lahore
